tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-09-04,62,93,50,10,37,28,93,PM25,SEDANG,DKI4
2021-09-05,74,120,52,12,36,28,120,PM25,TIDAK SEHAT,DKI4
2021-09-06,73,109,51,13,34,24,109,PM25,TIDAK SEHAT,DKI4
2021-09-07,60,86,51,11,27,24,86,PM25,SEDANG,DKI4
2021-09-08,64,106,52,16,29,34,106,PM25,TIDAK SEHAT,DKI4
2021-09-09,68,88,54,12,35,31,88,PM25,SEDANG,DKI2
2021-09-10,58,80,53,10,39,32,80,PM25,SEDANG,DKI4
2021-09-11,70,109,53,12,46,41,109,PM25,TIDAK SEHAT,DKI4
2021-09-12,66,111,51,10,36,27,111,PM25,TIDAK SEHAT,DKI4
2021-09-13,56,88,52,9,27,21,88,PM25,SEDANG,DKI4
2021-09-14,36,61,50,8,47,19,61,PM25,SEDANG,DKI4
2021-09-15,69,110,54,20,45,45,110,PM25,TIDAK SEHAT,DKI4
2021-09-16,53,89,52,10,52,24,89,PM25,SEDANG,DKI4
2021-09-17,50,85,51,7,53,20,85,PM25,SEDANG,DKI4
2021-09-18,57,101,53,9,51,22,101,PM25,TIDAK SEHAT,DKI4
2021-09-19,56,83,50,10,68,19,83,PM25,SEDANG,DKI5
2021-09-20,58,81,52,11,54,34,81,PM25,SEDANG,DKI2
2021-09-21,61,99,52,11,58,36,99,PM25,SEDANG,DKI4
2021-09-22,64,119,54,14,48,32,119,PM25,TIDAK SEHAT,DKI4
2021-09-23,61,116,53,10,53,22,116,PM25,TIDAK SEHAT,DKI4
2021-09-24,57,109,53,8,47,26,109,PM25,TIDAK SEHAT,DKI4
2021-09-25,55,102,52,11,50,20,102,PM25,TIDAK SEHAT,DKI4
2021-09-26,56,98,50,10,54,19,98,PM25,SEDANG,DKI4
2021-09-27,53,89,49,12,47,33,89,PM25,SEDANG,DKI4
2021-09-28,49,71,49,10,49,28,71,PM25,SEDANG,DKI2
2021-09-29,61,102,57,13,63,38,102,PM25,TIDAK SEHAT,DKI4
2021-09-30,71,117,63,16,63,37,117,PM25,TIDAK SEHAT,DKI4
2021-10-01,58,91,59,11,65,38,91,PM25,SEDANG,DKI4
2021-10-02,70,127,61,12,58,35,127,PM25,TIDAK SEHAT,DKI4
2021-10-03,70,96,62,11,53,28,96,PM25,SEDANG,DKI4
2021-10-04,62,110,60,11,64,29,110,PM25,TIDAK SEHAT,DKI4
2021-10-05,65,90,67,11,54,33,90,PM25,SEDANG,DKI2
2021-10-06,66,103,66,10,58,35,103,PM25,TIDAK SEHAT,DKI4
2021-10-07,52,77,60,9,50,28,77,PM25,SEDANG,DKI4
2021-10-08,60,98,64,11,54,35,98,PM25,SEDANG,DKI4
2021-10-09,55,83,62,9,60,29,83,PM25,SEDANG,DKI4
2021-10-10,61,97,61,9,72,26,97,PM25,SEDANG,DKI4
2021-10-11,68,100,64,12,66,30,100,PM25,SEDANG,DKI2
2021-10-12,77,111,76,12,49,35,111,PM25,TIDAK SEHAT,DKI4
2021-10-13,57,91,63,9,58,31,91,PM25,SEDANG,DKI4
2021-10-14,73,131,65,12,70,35,131,PM25,TIDAK SEHAT,DKI4
2021-10-15,100,157,64,15,64,37,157,PM25,TIDAK SEHAT,DKI4
2021-10-16,68,122,63,15,63,44,122,PM25,TIDAK SEHAT,DKI4
2021-10-17,71,126,63,15,65,30,126,PM25,TIDAK SEHAT,DKI4
2021-10-18,57,88,58,11,45,26,88,PM25,SEDANG,DKI4
2021-10-19,52,81,60,18,42,35,81,PM25,SEDANG,DKI5
2021-10-20,50,96,73,11,50,27,96,PM25,SEDANG,DKI4
2021-10-21,53,74,61,11,57,32,74,PM25,SEDANG,DKI3
2021-10-22,73,120,82,18,46,48,120,PM25,TIDAK SEHAT,DKI4
2021-10-23,67,109,81,13,53,36,109,PM25,TIDAK SEHAT,DKI4
2021-10-24,68,113,60,17,62,36,113,PM25,TIDAK SEHAT,DKI4
2021-10-25,65,104,62,14,70,37,104,PM25,TIDAK SEHAT,DKI4
2021-10-26,75,130,67,16,50,43,130,PM25,TIDAK SEHAT,DKI4
2021-10-27,62,90,64,15,50,39,90,PM25,SEDANG,DKI4
2021-10-28,54,78,67,16,56,39,78,PM25,SEDANG,DKI4
2021-10-29,54,79,80,19,49,35,80,SO2,SEDANG,DKI2
2021-10-30,64,103,81,15,58,40,103,PM25,TIDAK SEHAT,DKI4
2021-10-31,56,79,63,28,56,32,79,PM25,SEDANG,DKI4
